"X","SampleName","SampleType","Position","MethodName","MethodPath","SamplePath","DataName","Type","Dilution","Volume","Size","QuantWeight","TotalWeight","Date","File","Q.P.IS","I.S.PA","Q.P.Etizolam","PA","ratio","ValuesPositive","calibration","CorrectedConcentration","ConcentrationMg","SampleTotal","EtizolamPercentage","TotalEtizolam"
1,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223001,"Blank",NA,NA,NA,NA,NA,220223,"220223001.csv",390.933,5214347.703,390.933,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"25ug/mL Etizolam","Cal",2,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223002,"Cal",NA,NA,NA,NA,NA,220223,"220223002.csv",390.651,4773729.153,613.797,728085.954,0.152519326,NA,NA,NA,NA,NA,NA,NA
3,"50ug/mL Etizolam","Cal",3,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223003,"Cal",NA,NA,NA,NA,NA,220223,"220223003.csv",390.351,4894456.505,614.3538,2456317.954,0.501857142,NA,NA,NA,NA,NA,NA,NA
4,"75ug/mL Etizolam","Cal",4,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223004,"Cal",NA,NA,NA,NA,NA,220223,"220223004.csv",390.363,4926090.042,614.9382,4421594.015,0.897586925,NA,NA,NA,NA,NA,NA,NA
5,"100ug/mL Etizolam","Cal",5,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223005,"Cal",NA,NA,NA,NA,NA,220223,"220223005.csv",390.354,5246817.316,615.4998,7800642.533,1.486737972,NA,NA,NA,NA,NA,NA,NA
6,"150ug/mL Etizolam","Cal",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223006,"Cal",NA,NA,NA,NA,NA,220223,"220223006.csv",390.63798,5584847.968,616.356,13887590.37,2.486655045,NA,NA,NA,NA,NA,NA,NA
7,"200ug/mL Etizolam","Cal",7,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223007,"Cal",NA,NA,NA,NA,NA,220223,"220223007.csv",390.351,5692172.808,617.2122,20616008.5,3.621817044,NA,NA,NA,NA,NA,NA,NA
8,"250ug/mL Etizolam","Cal",8,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223008,"Cal",NA,NA,NA,NA,NA,220223,"220223008.csv",390.37602,5857962.164,617.808,27154588.49,4.635500834,NA,NA,NA,NA,NA,NA,NA
9,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223009,"Blank",NA,NA,NA,NA,NA,220223,"220223009.csv",390.35802,6083473.256,390.35802,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"40ug/mL Etizolam Check standard","Check Standard",9,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223010,"Sample",NA,NA,NA,NA,NA,220223,"220223010.csv",390.366,5449628.071,614.0832,1944533.358,0.356819462,40.3502117080396,NA,NA,NA,NA,NA,NA
11,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223011,"Blank",NA,NA,NA,NA,NA,220223,"220223011.csv",390.64002,5988894.488,390.64002,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"125ug/mL Etizolam Check standard","Check Standard",10,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223012,"Sample",NA,NA,NA,NA,NA,220223,"220223012.csv",390.357,5522860.741,616.0752,10611657.55,1.921405961,122.817325985444,NA,NA,NA,NA,NA,NA
13,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223013,"Blank",NA,NA,NA,NA,NA,220223,"220223013.csv",390.35298,5914413.197,390.35298,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"day 1 test 1","Card",11,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223014,"Sample",1,2.5,10,NA,NA,220223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,34.5414983931792,NA,34.5414983931792,0.0345414983931792,0.0863537459829479,NA,NA
15,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223015,"Blank",NA,NA,NA,NA,NA,220223,"220223015.csv",390.35202,5925376.749,390.35202,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"day 1 test 2","Paper",12,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223016,"Sample",1,2.5,10,NA,NA,220223,"220223016.csv",390.64302,5418706.44,390.64302,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223017,"Blank",NA,NA,NA,NA,NA,220223,"220223017.csv",390.64998,5670813.54,390.64998,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"day 1 test 3","Card",13,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223018,"Sample",1,2.5,10,NA,NA,220223,"220223018.csv",367.506,NA,615.5088,8002836.259,NA,NA,NA,NA,NA,NA,NA,NA
19,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223019,"Blank",NA,NA,NA,NA,NA,220223,"220223019.csv",390.35802,5504862.565,390.35802,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"day 1 test 4","Paper",14,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223020,"Sample",1,2.5,10,NA,NA,220223,"220223020.csv",390.64398,5338456.355,615.504,6430360.493,1.204535556,86.1838374230465,NA,86.1838374230465,0.0861838374230465,0.215459593557616,NA,NA
21,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223021,"Blank",NA,NA,NA,NA,NA,220223,"220223021.csv",390.63498,5815440.807,390.63498,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"day 1 test 5","Card",15,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223022,"Sample",1,2.5,10,NA,NA,220223,"220223022.csv",367.49298,NA,615.7818,9361991.602,NA,NA,NA,NA,NA,NA,NA,NA
23,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223023,"Blank",NA,NA,NA,NA,NA,220223,"220223023.csv",390.354,5913827.849,390.354,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"day 1 test 6","Paper",16,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223024,"Sample",1,2.5,10,NA,NA,220223,"220223024.csv",390.36498,5707596.412,614.6538,3300825.352,0.578321436,52.6159051466036,NA,52.6159051466036,0.0526159051466036,0.131539762866509,NA,NA
25,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223025,"Blank",NA,NA,NA,NA,NA,220223,"220223025.csv",390.34998,5623196.45,390.34998,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"25ug/mL Etizolam","Cal",2,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223001,"Cal",NA,NA,NA,NA,NA,220223,"220223002.csv",390.651,4773729.153,613.797,728085.954,0.15263,NA,NA,NA,NA,NA,NA,NA
27,"50ug/mL Etizolam","Cal",3,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223002,"Cal",NA,NA,NA,NA,NA,230223,"220223003.csv",390.351,4894456.505,614.3538,2456317.954,0.5019,NA,NA,NA,NA,NA,NA,NA
28,"75ug/mL Etizolam","Cal",4,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223003,"Cal",NA,NA,NA,NA,NA,230223,"220223004.csv",390.363,4926090.042,614.9382,4421594.015,0.8988,NA,NA,NA,NA,NA,NA,NA
29,"100ug/mL Etizolam","Cal",5,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223004,"Cal",NA,NA,NA,NA,NA,230223,"220223005.csv",390.354,5246817.316,615.4998,7800642.533,1.487,NA,NA,NA,NA,NA,NA,NA
30,"150ug/mL Etizolam","Cal",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223005,"Cal",NA,NA,NA,NA,NA,230223,"220223006.csv",390.63798,5584847.968,616.356,13887590.37,2.48766,NA,NA,NA,NA,NA,NA,NA
31,"200ug/mL Etizolam","Cal",7,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223006,"Cal",NA,NA,NA,NA,NA,230223,"220223007.csv",390.351,5692172.808,617.2122,20616008.5,3.623,NA,NA,NA,NA,NA,NA,NA
32,"250ug/mL Etizolam","Cal",8,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223007,"Cal",NA,NA,NA,NA,NA,230223,"220223008.csv",390.37602,5857962.164,617.808,27154588.49,4.6375,NA,NA,NA,NA,NA,NA,NA
33,"day 2 test 1","Paper",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223008,"Sample",1,2.5,10,NA,NA,230223,"220223026.csv",390.35598,5166383.812,614.931,4981381.031,0.96419105,NA,NA,NA,NA,NA,NA,NA
34,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223009,"Blank",NA,NA,NA,NA,NA,230223,"220223027.csv",390.351,5470192.209,390.351,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"day 2 test 2","Card",18,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223010,"Sample",1,2.5,10,NA,NA,230223,"220223028.csv",367.22202,NA,614.9388,4905649.074,NA,NA,NA,NA,NA,NA,NA,NA
36,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223011,"Blank",NA,NA,NA,NA,NA,230223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"day 2 test 3","Card",19,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223012,"Sample",1,2.5,10,NA,NA,230223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,NA,NA,NA,NA,NA,NA,NA
38,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223013,"Blank",NA,NA,NA,NA,NA,230223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"day 2 test 4","Paper",20,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223014,"Sample",1,2.5,10,NA,NA,230223,"220223016.csv",390.64302,5418706.44,390.64302,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223015,"Blank",NA,NA,NA,NA,NA,230223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"day 2 test 5","Paper",21,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223016,"Sample",1,2.5,10,NA,NA,230223,"220223018.csv",367.506,NA,615.5088,8002836.259,NA,NA,NA,NA,NA,NA,NA,NA
42,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223017,"Blank",NA,NA,NA,NA,NA,230223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"day 2 test 6","Card",22,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223018,"Sample",1,2.5,10,NA,NA,230223,"220223020.csv",390.64398,5338456.355,615.504,6430360.493,1.204535556,NA,NA,NA,NA,NA,NA,NA
44,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223019,"Blank",NA,NA,NA,NA,NA,230223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"day 2 test 7","Paper",23,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223020,"Sample",1,2.5,10,NA,NA,230223,"220223022.csv",367.49298,NA,615.7818,9361991.602,NA,NA,NA,NA,NA,NA,NA,NA
46,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223021,"Blank",NA,NA,NA,NA,NA,230223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"day 2 test 8","Card",24,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223022,"Sample",1,2.5,10,NA,NA,230223,"220223024.csv",390.36498,5707596.412,614.6538,3300825.352,0.578321436,NA,NA,NA,NA,NA,NA,NA
48,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223023,"Blank",NA,NA,NA,NA,NA,230223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"day 2 test 9","Paper",25,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223024,"Sample",1,2.5,10,NA,NA,230223,"220223016.csv",390.64302,5418706.44,390.64302,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223025,"Blank",NA,NA,NA,NA,NA,230223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"40ug/mL Check Standard","Check Standard",26,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223026,"Sample",NA,NA,NA,NA,NA,230223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223027,"Blank",NA,NA,NA,NA,NA,230223,"220223045.csv",383.50602,14854.90848,432.93498,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"125ug/mL Check Standard","Check Standard",27,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223028,"Sample",NA,NA,NA,NA,NA,230223,"220223046.csv",390.363,5458078.746,616.0812,10835972.94,1.985309016,NA,NA,NA,NA,NA,NA,NA
54,"25ug/mL Etizolam","Cal",2,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223001,"Cal",NA,NA,NA,NA,NA,240223,"220223002.csv",390.651,4773729.153,613.797,728085.954,0.15263,NA,NA,NA,NA,NA,NA,NA
55,"50ug/mL Etizolam","Cal",3,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223002,"Cal",NA,NA,NA,NA,NA,240223,"220223003.csv",390.351,4894456.505,614.3538,2456317.954,0.5019,NA,NA,NA,NA,NA,NA,NA
56,"75ug/mL Etizolam","Cal",4,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223003,"Cal",NA,NA,NA,NA,NA,240223,"220223004.csv",390.363,4926090.042,614.9382,4421594.015,0.8988,NA,NA,NA,NA,NA,NA,NA
57,"100ug/mL Etizolam","Cal",5,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223004,"Cal",NA,NA,NA,NA,NA,240223,"220223005.csv",390.354,5246817.316,615.4998,7800642.533,1.487,NA,NA,NA,NA,NA,NA,NA
58,"150ug/mL Etizolam","Cal",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223005,"Cal",NA,NA,NA,NA,NA,240223,"220223006.csv",390.63798,5584847.968,616.356,13887590.37,2.48766,NA,NA,NA,NA,NA,NA,NA
59,"200ug/mL Etizolam","Cal",7,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223006,"Cal",NA,NA,NA,NA,NA,240223,"220223007.csv",390.351,5692172.808,617.2122,20616008.5,3.623,NA,NA,NA,NA,NA,NA,NA
60,"250ug/mL Etizolam","Cal",8,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223007,"Cal",NA,NA,NA,NA,NA,240223,"220223008.csv",390.37602,5857962.164,617.808,27154588.49,4.6375,NA,NA,NA,NA,NA,NA,NA
61,"day 3 test 1","Paper",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223008,"Sample",1,2.5,10,NA,NA,240223,"220223026.csv",390.35598,5166383.812,614.931,4981381.031,0.96419105,NA,NA,NA,NA,NA,NA,NA
62,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223009,"Blank",NA,NA,NA,NA,NA,240223,"220223027.csv",390.351,5470192.209,390.351,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"day 3 test 2","Card",18,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223010,"Sample",1,2.5,10,NA,NA,240223,"220223028.csv",367.22202,NA,614.9388,4905649.074,NA,NA,NA,NA,NA,NA,NA,NA
64,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223011,"Blank",NA,NA,NA,NA,NA,240223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"day 3 test 3","Card",19,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223012,"Sample",1,2.5,10,NA,NA,240223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,NA,NA,NA,NA,NA,NA,NA
66,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223013,"Blank",NA,NA,NA,NA,NA,240223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"day 3 test 4","Paper",20,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223014,"Sample",1,2.5,10,NA,NA,240223,"220223016.csv",390.64302,5418706.44,390.64302,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223015,"Blank",NA,NA,NA,NA,NA,240223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"day 3 test 5","Paper",21,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223016,"Sample",1,2.5,10,NA,NA,240223,"220223018.csv",367.506,NA,615.5088,8002836.259,NA,NA,NA,NA,NA,NA,NA,NA
70,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223017,"Blank",NA,NA,NA,NA,NA,240223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
